event_id,stations,ref_time,ref_duration,ref_amplitude,known_seismicity_labels
20101218T223540Z,"['2C.BB08.', '2C.BB12.', '2C.BB10.', '2C.BB07.']",2010-12-18T22:35:40.997973Z,2.93,1342.278839,TELESEISM II
20101218T224504Z,"['2C.BB13.', '2C.BB01.', '2C.BB08.', '2C.BB16.', '2C.BB07.', '2C.BB12.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB10.', '2C.BB03.', '2C.BB06.', '2C.BB04.', '2C.BB14.']",2010-12-18T22:45:04.327027Z,325.530947,98335.55899,"STICK-SLIP, PRATT14"
20101218T230036Z,"['2C.BB10.', '2C.BB04.', '2C.BB12.', '2C.BB15.', '2C.BB01.']",2010-12-18T23:00:36.632026Z,50.850947,8616.755322,"STICK-SLIP, PRATT14"
20101219T014943Z,"['2C.BB11.', '2C.BB01.', '2C.BB16.', '2C.BB15.', '2C.BB06.', '2C.BB13.', '2C.BB07.']",2010-12-19T01:49:43.577027Z,2398.010947,6971.147063,
20101219T033301Z,"['2C.BB16.', '2C.BB15.', '2C.BB10.', '2C.BB13.']",2010-12-19T03:33:01.022027Z,102.480946,1650.956688,
20101219T061930Z,"['2C.BB16.', '2C.BB08.', '2C.BB17.']",2010-12-19T06:19:30.662027Z,57.320947,902.6069566,
20101219T062336Z,"['2C.BB17.', '2C.BB08.', '2C.BB10.', '2C.BB12.', '2C.BB15.', '2C.BB16.', '2C.BB11.', '2C.BB07.', '2C.BB01.']",2010-12-19T06:23:36.107027Z,1602.690947,11826.26755,"STICK-SLIP, PRATT14 ADDITIONAL"
20101219T071848Z,"['2C.BB08.', '2C.BB10.', '2C.BB07.', '2C.BB03.', '2C.BB01.', '2C.BB13.', '2C.BB04.', '2C.BB15.', '2C.BB12.', '2C.BB16.']",2010-12-19T07:18:48.132973Z,3279.115,9675.019349,
20101219T081450Z,"['2C.BB13.', '2C.BB12.', '2C.BB07.']",2010-12-19T08:14:50.967027Z,0.880947,468.3478857,
20101219T082539Z,"['2C.BB07.', '2C.BB15.', '2C.BB12.']",2010-12-19T08:25:39.412027Z,30.685947,822.1518008,
20101219T083015Z,"['2C.BB15.', '2C.BB12.', '2C.BB10.', '2C.BB13.', '2C.BB17.', '2C.BB08.']",2010-12-19T08:30:15.947027Z,556.635946,2347.918121,
20101219T084340Z,"['2C.BB10.', '2C.BB07.', '2C.BB08.']",2010-12-19T08:43:40.392027Z,3.335947,592.6394773,
20101219T085915Z,"['2C.BB17.', '2C.BB10.', '2C.BB07.']",2010-12-19T08:59:15.752973Z,0.99,161.8031119,
20101219T092957Z,"['2C.BB07.', '2C.BB13.', '2C.BB08.']",2010-12-19T09:29:57.812026Z,1.625947,398.3447419,
20101219T093711Z,"['2C.BB15.', '2C.BB10.', '2C.BB13.', '2C.BB08.', '2C.BB07.', '2C.BB01.']",2010-12-19T09:37:11.667027Z,41.150947,909.9177706,
20101219T100318Z,"['2C.BB07.', '2C.BB10.', '2C.BB01.', '2C.BB13.', '2C.BB08.']",2010-12-19T10:03:18.252973Z,63.195,1501.626406,
20101219T101011Z,"['2C.BB01.', '2C.BB07.', '2C.BB10.', '2C.BB12.', '2C.BB13.']",2010-12-19T10:10:11.832973Z,104.155,1258.225316,
20101219T101332Z,"['2C.BB07.', '2C.BB01.', '2C.BB12.']",2010-12-19T10:13:32.257973Z,11.65,662.9670594,
20101219T110131Z,"['2C.BB07.', '2C.BB01.', '2C.BB10.']",2010-12-19T11:01:31.487027Z,7.850947,875.439224,
20101219T114301Z,"['2C.BB10.', '2C.BB07.', '2C.BB01.']",2010-12-19T11:43:01.917027Z,0.755947,194.1106502,
20101219T120617Z,"['2C.BB16.', '2C.BB01.', '2C.BB07.']",2010-12-19T12:06:17.402974Z,7.02,725.1919184,
20101219T134542Z,"['2C.BB12.', '2C.BB08.', '2C.BB10.', '2C.BB16.', '2C.BB07.', '2C.BB13.']",2010-12-19T13:45:42.272973Z,612.93,2589.522935,
